,Distrito,latitude,longitude
0,HORTALEZA,40.46959632195766, -3.643167060059743
1,FUENCARRAL-EL PARDO,40.533515377313684, -3.7837344286583137
2,CIUDAD LINEAL,40.44546436923686, -3.657771377803833
3,SAN BLAS-CANILLEJAS,40.432949323375354, -3.6154345019988554
4,BARAJAS,40.46552393529145, -3.592669864431316
5,MORATALAZ,40.40701648900465, -3.6548016231838765
6,PUENTE DE VALLECAS,40.38675655929497, -3.6686040875952064
7,VICALVARO,40.393974281749735, -3.5989865953966067
8,VILLA DE VALLECAS,40.367776310985725, -3.6079740472796935
9,VILLAVERDE,40.34716819744428, -3.710153909124491
10,USERA,40.38284510500735, -3.7109087946283887
11,CARABANCHEL,40.379049347605985, -3.744532827991776
12,LATINA,40.40268286963044, -3.7485528543617277
13,MONCLOA-ARAVACA,40.4440905606424, -3.748665906699099
14,CENTRO,40.41181517494074, -3.7078711563270614
15,TETUAN,40.45878707931132, -3.6978045673017346
16,CHAMARTIN,40.462162897620416, -3.6805150794706165
17,CHAMBERI,40.434696104537196, -3.713535312269941
18,RETIRO,40.410908212727875, -3.6738659980900765
19,ARGANZUELA,40.39854831948709, -3.7068170956316164
20,SALAMANCA,40.42817336094093, -3.6846783683250837